"region","service","ip"
"usdodcentral","DataFactory","2001:489a:3203::500/121"
"usdodcentral","DataFactory","2001:489a:3203:402::330/124"
"usdodeast","DataFactory","20.140.66.176/28"
"usdodeast","DataFactory","20.140.67.192/26"
"usdodeast","DataFactory","20.140.68.0/25"
"usdodeast","DataFactory","52.126.205.240/28"
"usdodeast","DataFactory","2001:489a:3303::480/121"
"usdodeast","DataFactory","2001:489a:3303::500/122"
"usdodeast","DataFactory","2001:489a:3303::700/121"
"usdodeast","DataFactory","2001:489a:3303::780/122"
"usdodeast","DataFactory","2001:489a:3303:402::330/124"
"usdodeast","DataFactory","2001:489a:3303:802::210/124"
"usdodeast","DataFactory","2001:489a:3303:c02::190/124"
"usgovarizona","DataFactory","20.140.50.64/26"
"usgovarizona","DataFactory","20.140.50.128/25"
"usgovarizona","DataFactory","20.140.51.0/27"
"usgovarizona","DataFactory","20.140.51.96/29"
"usgovarizona","DataFactory","20.140.224.0/28"
"usgovarizona","DataFactory","52.127.12.32/28"
"usgovarizona","DataFactory","52.127.20.32/28"
"usgovarizona","DataFactory","2001:489a:3604::480/121"
"usgovarizona","DataFactory","2001:489a:3604::500/122"
"usgovarizona","DataFactory","2001:489a:3604::700/121"
"usgovarizona","DataFactory","2001:489a:3604::780/122"
"usgovarizona","DataFactory","2001:489a:3604:402::330/124"
"usgovarizona","DataFactory","2001:489a:3604:802::210/124"
"usgovarizona","DataFactory","2001:489a:3604:c02::190/124"
"usgovtexas","DataFactory","20.140.61.0/28"
"usgovtexas","DataFactory","20.140.61.64/26"
"usgovtexas","DataFactory","20.140.61.128/25"
"usgovtexas","DataFactory","52.127.38.160/28"
"usgovtexas","DataFactory","2001:489a:3403::440/122"
"usgovtexas","DataFactory","2001:489a:3403::500/121"
"usgovtexas","DataFactory","2001:489a:3403:402::330/124"
"usgovvirginia","DataFactory","20.140.93.144/28"
"usgovvirginia","DataFactory","20.140.131.112/28"
"usgovvirginia","DataFactory","52.127.45.96/28"
"usgovvirginia","DataFactory","52.127.48.128/25"
"usgovvirginia","DataFactory","52.127.49.0/26"
"usgovvirginia","DataFactory","52.127.52.80/29"
"usgovvirginia","DataFactory","2001:489a:3103::480/121"
"usgovvirginia","DataFactory","2001:489a:3103::500/122"
"usgovvirginia","DataFactory","2001:489a:3103::700/121"
"usgovvirginia","DataFactory","2001:489a:3103::780/122"
"usgovvirginia","DataFactory","2001:489a:3103:402::330/124"
"usgovvirginia","DataFactory","2001:489a:3103:802::210/124"
"usgovvirginia","DataFactory","2001:489a:3103:c04::190/124"
"usdodcentral","GatewayManager","20.140.72.72/29"
"usdodcentral","GatewayManager","52.127.58.176/29"
"usdodcentral","GatewayManager","52.182.49.196/32"
"usdodcentral","GatewayManager","52.182.53.156/32"
"usdodcentral","GatewayManager","2001:489a:3203::40/122"
"usdodeast","GatewayManager","20.140.64.72/29"
"usdodeast","GatewayManager","52.126.202.72/29"
"usdodeast","GatewayManager","52.181.177.232/32"
"usdodeast","GatewayManager","52.181.182.81/32"
"usdodeast","GatewayManager","2001:489a:3303::40/122"
"usgovarizona","GatewayManager","20.140.48.72/29"
"usgovarizona","GatewayManager","52.127.2.176/29"
"usgovarizona","GatewayManager","52.244.66.114/32"
"usgovarizona","GatewayManager","52.244.66.116/32"
"usgovarizona","GatewayManager","2001:489a:3604::40/122"
"usgoviowa","GatewayManager","20.140.152.80/29"
"usgoviowa","GatewayManager","23.97.16.189/32"
"usgoviowa","GatewayManager","23.97.16.251/32"
"usgoviowa","GatewayManager","23.97.18.212/32"
"usgoviowa","GatewayManager","23.97.18.229/32"
"usgoviowa","GatewayManager","52.127.26.64/29"
"usgovtexas","GatewayManager","20.140.56.72/29"
"usgovtexas","GatewayManager","52.127.34.176/29"
"usgovtexas","GatewayManager","52.238.73.235/32"
"usgovtexas","GatewayManager","52.238.78.237/32"
"usgovtexas","GatewayManager","2001:489a:3403::40/122"
"usgovvirginia","GatewayManager","23.97.0.100/32"
"usgovvirginia","GatewayManager","23.97.0.164/32"
"usgovvirginia","GatewayManager","23.97.0.181/32"
"usgovvirginia","GatewayManager","23.97.3.89/32"
"usgovvirginia","GatewayManager","52.127.42.144/29"
"usgovvirginia","GatewayManager","52.127.48.72/29"
"usgovvirginia","GatewayManager","2001:489a:3103::40/122"
"usdodcentral","HDInsight","20.140.74.136/29"
"usdodcentral","HDInsight","52.127.58.200/29"
"usdodcentral","HDInsight","52.180.249.174/32"
"usdodcentral","HDInsight","52.180.250.239/32"
"usdodcentral","HDInsight","2001:489a:3203:1::300/124"
"usdodcentral","HDInsight","2001:489a:3203:402::320/124"
"usdodeast","HDInsight","20.140.65.216/29"
"usdodeast","HDInsight","52.126.203.72/29"
"usdodeast","HDInsight","52.181.164.151/32"
"usdodeast","HDInsight","52.181.164.168/32"
"usdodeast","HDInsight","2001:489a:3303:1::3a0/124"
"usdodeast","HDInsight","2001:489a:3303:402::320/124"
"usgovarizona","HDInsight","20.140.52.16/29"
"usgovarizona","HDInsight","52.127.3.176/29"
"usgovarizona","HDInsight","52.244.219.62/32"
"usgovarizona","HDInsight","52.244.220.117/32"
"usgovarizona","HDInsight","2001:489a:3604:1::3a0/124"
"usgovarizona","HDInsight","2001:489a:3604:402::320/124"
"usgoviowa","HDInsight","13.72.184.124/32"
"usgoviowa","HDInsight","13.72.190.110/32"
"usgoviowa","HDInsight","20.140.153.136/29"
"usgoviowa","HDInsight","52.127.26.72/29"
"usgovtexas","HDInsight","20.140.59.56/29"
"usgovtexas","HDInsight","52.127.34.200/29"
"usgovtexas","HDInsight","52.238.112.86/32"
"usgovtexas","HDInsight","52.238.116.212/32"
"usgovtexas","HDInsight","2001:489a:3403:1::300/124"
"usgovtexas","HDInsight","2001:489a:3403:402::320/124"
"usgovvirginia","HDInsight","13.72.49.126/32"
"usgovvirginia","HDInsight","13.72.55.55/32"
"usgovvirginia","HDInsight","52.127.43.144/29"
"usgovvirginia","HDInsight","52.127.53.104/29"
"usgovvirginia","HDInsight","2001:489a:3103:1::3a0/124"
"usgovvirginia","HDInsight","2001:489a:3103:402::320/124"
"usdodcentral","LogicApps","52.127.61.128/27"
"usdodcentral","LogicApps","52.127.61.160/28"
"usdodcentral","LogicApps","2001:489a:3203:402::3c0/124"
"usdodcentral","LogicApps","2001:489a:3203:402::3e0/123"
"usdodeast","LogicApps","52.126.205.128/27"
"usdodeast","LogicApps","52.126.205.160/28"
"usdodeast","LogicApps","2001:489a:3303:402::3c0/124"
"usdodeast","LogicApps","2001:489a:3303:402::3e0/123"
"usgovarizona","LogicApps","52.127.5.192/27"
"usgovarizona","LogicApps","52.127.18.208/28"
"usgovarizona","LogicApps","2001:489a:3604:402::3c0/124"
"usgovarizona","LogicApps","2001:489a:3604:402::3e0/123"
"usgoviowa","LogicApps","52.127.29.16/28"
"usgoviowa","LogicApps","52.127.29.32/27"
"usgovtexas","LogicApps","52.127.38.64/27"
"usgovtexas","LogicApps","52.127.38.96/28"
"usgovtexas","LogicApps","2001:489a:3403:402::3c0/124"
"usgovtexas","LogicApps","2001:489a:3403:402::3e0/123"
"usgovvirginia","LogicApps","20.140.94.80/28"
"usgovvirginia","LogicApps","52.127.45.224/27"
"usgovvirginia","LogicApps","2001:489a:3103:402::3c0/124"
"usgovvirginia","LogicApps","2001:489a:3103:402::3e0/123"
"usdodeast","MicrosoftCloudAppSecurity","52.126.203.208/28"
"usgovvirginia","MicrosoftCloudAppSecurity","13.72.19.4/32"
"usgovvirginia","MicrosoftCloudAppSecurity","13.72.48.67/32"
"usgovvirginia","MicrosoftCloudAppSecurity","20.140.93.128/28"
"usgovvirginia","MicrosoftCloudAppSecurity","20.140.131.96/28"
"usgovvirginia","MicrosoftCloudAppSecurity","52.127.45.0/28"
"usgovvirginia","MicrosoftCloudAppSecurity","52.227.138.155/32"
"usgovvirginia","MicrosoftCloudAppSecurity","52.227.138.248/32"
"usgovvirginia","MicrosoftCloudAppSecurity","52.227.139.174/32"
"usgovvirginia","MicrosoftCloudAppSecurity","52.227.142.170/32"
"usgovvirginia","MicrosoftCloudAppSecurity","52.227.142.179/32"
"usgovvirginia","MicrosoftCloudAppSecurity","52.227.142.192/32"
"usgovvirginia","MicrosoftCloudAppSecurity","52.227.143.223/32"
"usdodcentral","MicrosoftContainerRegistry","52.127.58.80/29"
"usdodcentral","MicrosoftContainerRegistry","2001:489a:3203:402::88/125"
"usdodeast","MicrosoftContainerRegistry","52.126.202.56/29"
"usdodeast","MicrosoftContainerRegistry","2001:489a:3303:402::88/125"
"usdodeast","MicrosoftContainerRegistry","2001:489a:3303:802::88/125"
"usdodeast","MicrosoftContainerRegistry","2001:489a:3303:c02::8/125"
"usgovarizona","MicrosoftContainerRegistry","52.127.2.80/29"
"usgovarizona","MicrosoftContainerRegistry","2001:489a:3604:402::88/125"
"usgovarizona","MicrosoftContainerRegistry","2001:489a:3604:802::88/125"
"usgovarizona","MicrosoftContainerRegistry","2001:489a:3604:c02::8/125"
"usgovtexas","MicrosoftContainerRegistry","52.127.34.80/29"
"usgovtexas","MicrosoftContainerRegistry","2001:489a:3403:402::88/125"
"usgovvirginia","MicrosoftContainerRegistry","20.140.90.136/29"
"usgovvirginia","MicrosoftContainerRegistry","20.140.130.136/29"
"usgovvirginia","MicrosoftContainerRegistry","52.127.42.80/29"
"usgovvirginia","MicrosoftContainerRegistry","2001:489a:3103:402::88/125"
"usgovvirginia","MicrosoftContainerRegistry","2001:489a:3103:802::88/125"
"usgovvirginia","MicrosoftContainerRegistry","2001:489a:3103:c04::8/125"
"usdodcentral","PowerQueryOnline","20.140.72.116/31"
"usdodcentral","PowerQueryOnline","2001:489a:3203::200/123"
"usdodeast","PowerQueryOnline","20.140.64.116/31"
"usdodeast","PowerQueryOnline","2001:489a:3303::200/123"
"usgovarizona","PowerQueryOnline","20.140.48.116/31"
"usgovarizona","PowerQueryOnline","20.140.48.200/29"
"usgovarizona","PowerQueryOnline","2001:489a:3604::200/123"
"usgoviowa","PowerQueryOnline","20.140.152.72/31"
"usgovtexas","PowerQueryOnline","20.140.56.116/31"
"usgovtexas","PowerQueryOnline","2001:489a:3403::200/123"
"usgovvirginia","PowerQueryOnline","52.127.49.88/30"
"usgovvirginia","PowerQueryOnline","52.127.49.136/29"
"usgovvirginia","PowerQueryOnline","2001:489a:3103::200/123"
"usdodcentral","ServiceFabric","52.127.58.184/29"
"usdodcentral","ServiceFabric","52.182.88.86/32"
"usdodcentral","ServiceFabric","2001:489a:3203:402::98/125"
"usdodeast","ServiceFabric","52.126.202.160/29"
"usdodeast","ServiceFabric","52.181.160.98/32"
"usdodeast","ServiceFabric","2001:489a:3303:402::98/125"
"usdodeast","ServiceFabric","2001:489a:3303:802::98/125"
"usdodeast","ServiceFabric","2001:489a:3303:c02::18/125"
"usgovarizona","ServiceFabric","52.127.2.184/29"
"usgovarizona","ServiceFabric","52.244.48.45/32"
"usgovarizona","ServiceFabric","2001:489a:3604:402::98/125"
"usgovarizona","ServiceFabric","2001:489a:3604:802::98/125"
"usgovarizona","ServiceFabric","2001:489a:3604:c02::18/125"
"usgoviowa","ServiceFabric","13.72.185.65/32"
"usgovtexas","ServiceFabric","52.127.34.184/29"
"usgovtexas","ServiceFabric","52.238.116.45/32"
"usgovtexas","ServiceFabric","2001:489a:3403:402::98/125"
"usgovvirginia","ServiceFabric","13.72.49.213/32"
"usgovvirginia","ServiceFabric","20.140.94.128/30"
"usgovvirginia","ServiceFabric","20.140.133.152/30"
"usgovvirginia","ServiceFabric","52.127.42.152/29"
"usgovvirginia","ServiceFabric","2001:489a:3103:402::98/125"
"usgovvirginia","ServiceFabric","2001:489a:3103:802::98/125"
"usgovvirginia","ServiceFabric","2001:489a:3103:c04::18/125"
"usdodcentral","StorageSyncService","20.140.72.152/29"
"usdodcentral","StorageSyncService","2001:489a:3203::340/123"
"usdodcentral","StorageSyncService","2001:489a:3203:402::580/123"
"usdodeast","StorageSyncService","20.140.64.152/29"
"usdodeast","StorageSyncService","2001:489a:3303::300/123"
"usdodeast","StorageSyncService","2001:489a:3303:802::2a0/123"
"usgovarizona","StorageSyncService","20.140.48.216/29"
"usgovarizona","StorageSyncService","52.244.75.224/32"
"usgovarizona","StorageSyncService","52.244.79.140/32"
"usgovarizona","StorageSyncService","2001:489a:3604::300/123"
"usgovarizona","StorageSyncService","2001:489a:3604:802::2a0/123"
"usgoviowa","StorageSyncService","20.140.152.96/29"
"usgovtexas","StorageSyncService","20.140.56.136/29"
"usgovtexas","StorageSyncService","52.238.79.29/32"
"usgovtexas","StorageSyncService","52.238.166.107/32"
"usgovtexas","StorageSyncService","2001:489a:3403::340/123"
"usgovtexas","StorageSyncService","2001:489a:3403:402::580/123"
"usgovvirginia","StorageSyncService","13.72.17.152/32"
"usgovvirginia","StorageSyncService","52.127.49.152/29"
"usgovvirginia","StorageSyncService","52.227.153.92/32"
"usgovvirginia","StorageSyncService","2001:489a:3103::300/123"
"usgovvirginia","StorageSyncService","2001:489a:3103:802::2a0/123"
"usgovarizona","WindowsVirtualDesktop","52.244.164.16/32"
"usgovarizona","WindowsVirtualDesktop","52.244.165.17/32"
"usgovarizona","WindowsVirtualDesktop","52.244.202.131/32"
"usgovarizona","WindowsVirtualDesktop","52.244.202.228/32"
"usgovarizona","WindowsVirtualDesktop","52.244.204.215/32"
"usgovarizona","WindowsVirtualDesktop","52.244.204.243/32"
"usgovvirginia","WindowsVirtualDesktop","13.72.49.7/32"
"usgovvirginia","WindowsVirtualDesktop","52.227.22.220/32"
"usgovvirginia","WindowsVirtualDesktop","52.227.171.125/32"
"usgovvirginia","WindowsVirtualDesktop","52.227.173.251/32"
"usgovvirginia","WindowsVirtualDesktop","52.247.128.136/32"
"usgovvirginia","WindowsVirtualDesktop","52.247.175.34/32"
"usdodcentral","","20.34.46.0/23"
"usdodcentral","","20.140.8.0/21"
"usdodcentral","","20.140.72.0/21"
"usdodcentral","","20.140.163.0/24"
"usdodcentral","","20.140.166.0/24"
"usdodcentral","","20.140.233.64/26"
"usdodcentral","","20.141.5.0/24"
"usdodcentral","","40.66.0.160/27"
"usdodcentral","","40.66.1.32/27"
"usdodcentral","","40.66.1.160/27"
"usdodcentral","","40.66.4.192/26"
"usdodcentral","","52.126.194.64/26"
"usdodcentral","","52.126.212.0/24"
"usdodcentral","","52.126.224.64/26"
"usdodcentral","","52.126.236.0/24"
"usdodcentral","","52.126.240.0/20"
"usdodcentral","","52.127.56.0/21"
"usdodcentral","","52.127.68.0/22"
"usdodcentral","","52.127.76.0/22"
"usdodcentral","","52.127.80.0/24"
"usdodcentral","","52.127.99.0/24"
"usdodcentral","","52.127.100.0/24"
"usdodcentral","","52.127.112.0/22"
"usdodcentral","","52.127.118.0/24"
"usdodcentral","","52.127.128.0/20"
"usdodcentral","","52.180.192.0/18"
"usdodcentral","","52.182.0.0/17"
"usdodcentral","","52.245.2.0/24"
"usdodcentral","","52.245.128.0/21"
"usdodcentral","","52.246.145.0/24"
"usdodcentral","","104.210.20.0/22"
"usdodcentral","","2001:489a:2206:8010::/63"
"usdodcentral","","2001:489a:3200::/46"
"usdodcentral","","2001:489a:3204::/48"
"usdodeast","","20.34.48.0/22"
"usdodeast","","20.34.52.0/23"
"usdodeast","","20.140.0.0/21"
"usdodeast","","20.140.64.0/21"
"usdodeast","","20.140.96.0/19"
"usdodeast","","20.140.164.0/23"
"usdodeast","","20.140.233.0/26"
"usdodeast","","20.141.0.0/24"
"usdodeast","","20.141.3.0/24"
"usdodeast","","40.66.0.128/27"
"usdodeast","","40.66.1.0/27"
"usdodeast","","40.66.1.128/27"
"usdodeast","","40.66.2.192/26"
"usdodeast","","52.126.194.0/26"
"usdodeast","","52.126.200.0/21"
"usdodeast","","52.126.213.0/24"
"usdodeast","","52.126.237.0/24"
"usdodeast","","52.127.64.0/22"
"usdodeast","","52.127.72.0/22"
"usdodeast","","52.127.81.0/24"
"usdodeast","","52.127.98.0/24"
"usdodeast","","52.127.101.0/24"
"usdodeast","","52.127.108.0/22"
"usdodeast","","52.127.144.0/20"
"usdodeast","","52.181.0.0/16"
"usdodeast","","52.245.7.0/24"
"usdodeast","","52.245.136.0/21"
"usdodeast","","52.246.144.0/24"
"usdodeast","","52.246.146.0/23"
"usdodeast","","104.210.16.0/22"
"usdodeast","","2001:489a:2206:8000::/63"
"usdodeast","","2001:489a:3300::/46"
"usdodeast","","2001:489a:3304::/48"
"usgovarizona","","20.34.40.0/22"
"usgovarizona","","20.34.44.0/23"
"usgovarizona","","20.140.16.0/22"
"usgovarizona","","20.140.48.0/21"
"usgovarizona","","20.140.81.0/24"
"usgovarizona","","20.140.160.0/24"
"usgovarizona","","20.140.168.0/24"
"usgovarizona","","20.140.224.0/21"
"usgovarizona","","20.140.232.0/26"
"usgovarizona","","20.140.244.0/23"
"usgovarizona","","20.141.2.0/24"
"usgovarizona","","20.141.7.0/24"
"usgovarizona","","20.141.8.0/21"
"usgovarizona","","40.66.0.192/26"
"usgovarizona","","40.66.2.64/27"
"usgovarizona","","40.66.3.64/27"
"usgovarizona","","40.66.3.192/26"
"usgovarizona","","40.66.4.64/27"
"usgovarizona","","40.112.41.0/24"
"usgovarizona","","40.112.42.0/23"
"usgovarizona","","52.115.248.0/22"
"usgovarizona","","52.126.0.0/18"
"usgovarizona","","52.126.192.0/25"
"usgovarizona","","52.126.194.128/26"
"usgovarizona","","52.126.211.0/24"
"usgovarizona","","52.126.235.0/24"
"usgovarizona","","52.127.0.0/20"
"usgovarizona","","52.127.16.0/21"
"usgovarizona","","52.127.84.0/22"
"usgovarizona","","52.127.92.0/22"
"usgovarizona","","52.127.96.0/24"
"usgovarizona","","52.127.104.0/30"
"usgovarizona","","52.127.119.0/24"
"usgovarizona","","52.127.208.0/20"
"usgovarizona","","52.127.224.0/20"
"usgovarizona","","52.127.244.0/22"
"usgovarizona","","52.235.128.0/18"
"usgovarizona","","52.239.166.0/24"
"usgovarizona","","52.244.0.0/16"
"usgovarizona","","52.245.0.0/24"
"usgovarizona","","52.245.6.0/24"
"usgovarizona","","52.245.144.0/27"
"usgovarizona","","2001:489a:2206:10::/63"
"usgovarizona","","2001:489a:3601::/48"
"usgovarizona","","2001:489a:3602::/48"
"usgovarizona","","2001:489a:3604::/48"
"usgovarizona","","2001:489a:3605::/48"
"usgoviowa","","13.72.128.0/18"
"usgoviowa","","13.73.64.0/19"
"usgoviowa","","20.140.32.0/20"
"usgoviowa","","20.140.152.0/21"
"usgoviowa","","20.141.6.0/24"
"usgoviowa","","23.97.16.0/20"
"usgoviowa","","23.97.40.0/21"
"usgoviowa","","40.66.2.128/28"
"usgoviowa","","40.66.3.128/27"
"usgoviowa","","40.66.4.128/27"
"usgoviowa","","40.112.38.32/27"
"usgoviowa","","40.112.38.96/27"
"usgoviowa","","40.112.38.160/27"
"usgoviowa","","40.112.47.0/24"
"usgoviowa","","52.126.194.192/26"
"usgoviowa","","52.126.209.0/24"
"usgoviowa","","52.126.216.0/22"
"usgoviowa","","52.126.224.128/26"
"usgoviowa","","52.126.233.0/24"
"usgoviowa","","52.126.234.0/24"
"usgoviowa","","52.127.24.0/21"
"usgoviowa","","52.127.82.0/24"
"usgoviowa","","52.127.116.64/26"
"usgoviowa","","52.127.116.128/25"
"usgoviowa","","52.127.117.192/26"
"usgoviowa","","52.127.176.0/20"
"usgoviowa","","52.127.252.0/22"
"usgoviowa","","52.243.0.0/19"
"usgoviowa","","2001:489a:2206:30::/63"
"usgoviowa","","2001:489a:3000::/46"
"usgovtexas","","13.105.18.128/27"
"usgovtexas","","20.34.38.0/23"
"usgovtexas","","20.35.248.0/26"
"usgovtexas","","20.140.20.0/22"
"usgovtexas","","20.140.56.0/21"
"usgovtexas","","20.140.80.0/24"
"usgovtexas","","20.140.136.0/21"
"usgovtexas","","20.140.144.0/21"
"usgovtexas","","20.140.161.0/24"
"usgovtexas","","20.140.232.64/26"
"usgovtexas","","20.140.242.0/23"
"usgovtexas","","40.66.2.32/27"
"usgovtexas","","40.66.3.32/27"
"usgovtexas","","40.66.4.32/27"
"usgovtexas","","40.66.4.96/27"
"usgovtexas","","40.66.4.160/27"
"usgovtexas","","40.112.40.0/24"
"usgovtexas","","52.108.64.0/23"
"usgovtexas","","52.115.252.0/22"
"usgovtexas","","52.126.128.0/18"
"usgovtexas","","52.126.192.128/26"
"usgovtexas","","52.126.195.0/26"
"usgovtexas","","52.126.210.0/24"
"usgovtexas","","52.126.220.0/22"
"usgovtexas","","52.127.32.0/21"
"usgovtexas","","52.127.88.0/22"
"usgovtexas","","52.127.97.0/24"
"usgovtexas","","52.127.102.0/24"
"usgovtexas","","52.127.117.0/25"
"usgovtexas","","52.127.192.0/20"
"usgovtexas","","52.127.248.0/22"
"usgovtexas","","52.238.64.0/18"
"usgovtexas","","52.238.128.0/18"
"usgovtexas","","52.239.176.0/25"
"usgovtexas","","52.243.128.0/17"
"usgovtexas","","52.245.1.0/24"
"usgovtexas","","52.245.4.0/24"
"usgovtexas","","52.249.96.0/19"
"usgovtexas","","2001:489a:2206::/63"
"usgovtexas","","2001:489a:3400::/46"
"usgovtexas","","2001:489a:3404::/48"
"usgovvirginia","","13.72.0.0/18"
"usgovvirginia","","13.73.208.0/20"
"usgovvirginia","","13.77.224.0/19"
"usgovvirginia","","20.34.32.0/22"
"usgovvirginia","","20.34.36.0/23"
"usgovvirginia","","20.35.248.64/27"
"usgovvirginia","","20.35.248.96/28"
"usgovvirginia","","20.35.248.128/27"
"usgovvirginia","","20.35.248.192/26"
"usgovvirginia","","20.140.88.0/21"
"usgovvirginia","","20.140.128.0/21"
"usgovvirginia","","20.140.162.0/24"
"usgovvirginia","","20.140.167.0/24"
"usgovvirginia","","20.140.176.0/20"
"usgovvirginia","","20.140.192.0/19"
"usgovvirginia","","20.140.232.128/25"
"usgovvirginia","","20.140.240.0/23"
"usgovvirginia","","20.141.1.0/24"
"usgovvirginia","","20.141.4.0/24"
"usgovvirginia","","23.97.0.0/20"
"usgovvirginia","","23.97.32.0/21"
"usgovvirginia","","40.66.1.64/26"
"usgovvirginia","","40.66.1.192/26"
"usgovvirginia","","40.66.2.0/27"
"usgovvirginia","","40.66.2.96/27"
"usgovvirginia","","40.66.2.144/28"
"usgovvirginia","","40.66.2.160/27"
"usgovvirginia","","40.66.3.0/27"
"usgovvirginia","","40.66.3.96/27"
"usgovvirginia","","40.66.3.160/27"
"usgovvirginia","","40.66.4.0/27"
"usgovvirginia","","40.112.38.0/27"
"usgovvirginia","","40.112.38.64/27"
"usgovvirginia","","40.112.38.128/27"
"usgovvirginia","","40.112.44.0/23"
"usgovvirginia","","40.112.46.0/24"
"usgovvirginia","","52.108.66.0/23"
"usgovvirginia","","52.126.64.0/18"
"usgovvirginia","","52.126.192.192/26"
"usgovvirginia","","52.126.195.64/26"
"usgovvirginia","","52.126.196.0/22"
"usgovvirginia","","52.126.208.0/24"
"usgovvirginia","","52.126.224.0/26"
"usgovvirginia","","52.126.224.192/26"
"usgovvirginia","","52.126.232.0/24"
"usgovvirginia","","52.127.40.0/21"
"usgovvirginia","","52.127.48.0/21"
"usgovvirginia","","52.127.83.0/24"
"usgovvirginia","","52.127.103.0/24"
"usgovvirginia","","52.127.104.4/30"
"usgovvirginia","","52.127.116.0/26"
"usgovvirginia","","52.127.117.128/26"
"usgovvirginia","","52.127.160.0/20"
"usgovvirginia","","52.127.240.0/22"
"usgovvirginia","","52.227.0.0/16"
"usgovvirginia","","52.235.192.0/18"
"usgovvirginia","","52.245.3.0/24"
"usgovvirginia","","52.245.5.0/24"
"usgovvirginia","","52.245.192.0/18"
"usgovvirginia","","52.247.128.0/18"
"usgovvirginia","","2001:489a:2206:20::/63"
"usgovvirginia","","2001:489a:3100::/46"
"usgovvirginia","","2001:489a:3108::/48"
